"","CHR_PCODE","CHR_SYS_SAMPLE_CDE","CHR_SAMPLE_DEL_GRP","CHR_SAMPLE_DEL_GRP_EQUIS","CHR_LAB_ANAL_METHOD_NAME","CHR_ANALYSIS_DATE","CHR_TEST_TYPE","CHR_LAB_MATRIX_CDE","CHR_DILUTION_FACTOR","CHR_PREP_METHOD","CHR_PREP_DATE","CHR_LAB_NAME_CDE","CHR_QC_LEVEL","CHR_LAB_SAMPLE_ID","CHR_SUBSAMPLE_AMT","CHR_SUBSAMPLE_AMT_UNIT","CHR_FINAL_VOLUME","CHR_FINAL_VOLUME_UNIT","CHR_CAS_RN","CHR_RESULT_VALUE","CHR_RESULT_TYPE_CDE","CHR_REPORTABLE_RESULT","CHR_DETECT_FLAG","CHR_QLFR_SRC","CHR_LAB_QUAL","CHR_VALIDATED_YN","CHR_VALIDATION_DATE","CHR_VALIDATOR_QUAL","CHR_VALIDATOR_QUAL_EXPLN","CHR_METHOD_DETECT_LIMIT","CHR_REPORTING_DETECT_LIMIT","CHR_QUANTITATION_LIMIT","CHR_DETECTION_LIMIT_UNIT","CHR_LAB_VALIDATION_LEVEL","CHR_RESULT_COMMENT","CHR_QC_ORIG_CONC","CHR_QC_SPIKE_ADDED","CHR_QC_SPIKE_MEASURED","CHR_QC_SPIKE_RECOVERY","CHR_QC_DUP_ORIG_CONC","CHR_QC_DUP_SPIKE_ADDED","CHR_QC_DUP_SPIKE_MEASURED","CHR_QC_DUP_SPIKE_RECOVERY","CHR_QC_RPD","CHR_QC_SPIKE_LCL","CHR_QC_SPIKE_UCL","CHR_QC_RPD_CL","CHR_QC_SPIKE_STATUS","CHR_QC_DUP_SPIKE_STATUS","CHR_QC_RPD_STATUS","CHS_EVENT_SMAS_HISTORY_ID","CHS_EVENT_SMAS_SAMPLE_DATE","CHS_SITE_ID_CORR_YN","CHS_DATA_PROVIDER","CHS_SAMPLE_NAME","CHS_SAMPLE_MATRIX_CDE","CHS_DEC_SAMPLE_TYPE_CDE","CHS_LAB_SAMPLE_TYPE_CDE","CHS_SAMPLE_SOURCE","CHS_PARENT_SAMPLE_CDE","CHS_SAMPLE_DEL_GRP_EQUIS","CHS_SAMPLE_DATETIME","CHS_SAMPLE_RECEIPT_DATE","CHS_SYS_LOC_CDE","CHS_CHAIN_OF_CUSTODY","CHS_SAMPLER","CHS_SAMPLING_COMPANY_CODE","CHS_COMMENT","CHEM_PARAMETER_PCODE","CHEM_PARAMETER_NAME","CHEM_PARAMETER_UNIT","CHEM_PARAMETER_UNIT_NOSP","CHEM_PARAMETER_FRACTION","CHEM_PARAMETER_SOURCE","CHEM_PARAMETER_NOTES"
"39724",19,"13-PKIL-0.4-07102018-W","R1806544","","E200.8","07/17/2018 15:20:00","initial","WS",1,"E200.0","07/16/2018 00:00:00","ALSRNY","quant","R1806544-007",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.064,0.064,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-PKIL-0.4","07/10/2018","N","ALSRNY","13-PKIL-0.4-07102018-W","WS","N","N","Field","","","07/10/2018 16:50:00","07/12/2018","Unknown","","","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39734",19,"13-WALK-44.4-08152018-W","R1807868","","E200.8","08/29/2018 14:10:00","initial","WS",1,"E200.0","08/24/2018 00:00:00","ALSRNY","quant","R1807868-001",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.064,0.064,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-WALK-44.4","08/15/2018","N","ALSRNY","13-WALK-44.4-08152018-W","WS","N","N","Field","","","08/15/2018 08:15:00","08/16/2018","Unknown","","","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39739",19,"09-MARA-4.5-09102019-W","R1908762","","E200.8","09/24/2019 11:27:00","initial","WS",1,"E200.0","09/20/2019 00:00:00","ALSRNY","quant","R1908762-001",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-MARA-4.5","09/10/2019","N","ALSRNY","09-MARA-4.5-09102019-W","WS","N","N","Field","","","09/10/2019 11:30:00","09/11/2019","09-MARA-4.5","","090919C04W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39743",19,"13-WALK-46.6-07112018-W","R1806428","","E200.8","07/17/2018 16:40:00","initial","WS",1,"E200.0","07/16/2018 00:00:00","ALSRNY","quant","R1806428-013",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.064,0.064,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-WALK-46.6","07/11/2018","N","ALSRNY","13-WALK-46.6-07112018-W","WS","N","N","Field","","","07/11/2018 14:30:00","07/12/2018","Unknown","","","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39755",19,"10-HALF-0.3-09052019-W","R1908632","","E200.8","09/18/2019 12:24:00","initial","WS",1,"E200.0","09/16/2019 00:00:00","ALSRNY","quant","R1908632-003",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF-0.3","09/05/2019","N","ALSRNY","10-HALF-0.3-09052019-W","WS","N","N","Field","","","09/05/2019 10:00:00","09/06/2019","10-HALF-0.3","","090219CO1W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39779",19,"06-OTGO-10.8-08092018-WS","R1807620","","E200.8","08/14/2018 19:13:00","initial","WS",1,"E200.0","08/13/2018 00:00:00","ALSRNY","quant","R1807620-014",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.064,0.064,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-OTGO-10.8","08/09/2018","N","ALSRNY","06-OTGO-10.8-08092018-WS","WS","N","N","Field","","","08/09/2018 13:30:00","08/10/2018","Unknown","","","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39781",19,"04-TOML-0.8-07242019-W","R1906884","","E200.8","07/30/2019 15:00:00","initial","WS",1,"E200.0","07/29/2019 00:00:00","ALSRNY","quant","R1906884-012",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-TOML-0.8","07/24/2019","N","ALSRNY","04-TOML-0.8-07242019-W","WS","N","N","Field","","","07/24/2019 12:45:00","07/25/2019","04-TOML-0.8","","072219CO3W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39796",19,"14-ANAW-0.4-08202019-W","R1907964","","E200.8","09/03/2019 14:11:00","initial","WS",1,"E200.0","08/30/2019 00:00:00","ALSRNY","quant","R1907964-005",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-ANAW-0.4","08/20/2019","N","ALSRNY","14-ANAW-0.4-08202019-W","WS","N","N","Field","","","08/20/2019 13:15:00","08/21/2019","14-ANAW-0.4","","081919CO2W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39811",19,"07-FALC-0.3-09172019-W","R1909018","","E200.8","09/24/2019 10:23:00","initial","WS",1,"E200.0","09/20/2019 00:00:00","ALSRNY","quant","R1909018-005",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-FALC-0.3","09/17/2019","N","ALSRNY","07-FALC-0.3-09172019-W","WS","N","N","Field","","","09/17/2019 14:00:00","09/18/2019","07-FALC-0.3","","","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39835",19,"13-PKIL-0.4-06262019-W","R1905963","","E200.8","07/03/2019 12:46:00","initial","WS",1,"E200.0","07/02/2019 00:00:00","ALSRNY","quant","R1905963-010",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","13-PKIL-0.4","06/26/2019","N","ALSRNY","13-PKIL-0.4-06262019-W","WS","N","N","Field","","","06/26/2019 12:00:00","06/27/2019","13-PKIL-0.4","","062419C01W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"39836",19,"04-CONE-1.9-07232019-W","R1906884","","E200.8","07/30/2019 14:49:00","initial","WS",1,"E200.0","07/29/2019 00:00:00","ALSRNY","quant","R1906884-006",10,"mL",10,"mL","7440-43-9",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.38,0.38,1,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-CONE-1.9","07/23/2019","N","ALSRNY","04-CONE-1.9-07232019-W","WS","N","N","Field","","","07/23/2019 14:00:00","07/23/2019","04-CONE-1.9","","072219CO3W","NYSDEC","",19,"CADMIUM","µg/L","ug/L","TOTAL","LAB",""
"44574",21,"07-SUKE-0.3-08122019-W","R1907624","","E200.7","08/26/2019 15:56:00","initial","WS",1,"SW3010A","08/19/2019 00:00:00","ALSRNY","quant","R1907624-015",10,"mL",10,"mL","7440-70-2",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",110,110,1000,"ug/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",21,"CALCIUM","µg/L","ug/L","TOTAL","LAB",""
"50107",25,"07-SUKE-0.3-08122019-W","R1907624","","SM5310C","08/15/2019 01:47:00","initial","WS",1,"","","ALSRNY","quant","R1907624-015",42,"mL",42,"mL","TOC",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,1,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",25,"CARBON, TOTAL ORGANIC","mg/L","mg/L","TOTAL","LAB",""
"51162",25,"COLD-T7-1.1-08012019-W","R1907241","","SM5310C","08/10/2019 06:06:00","initial","WS",1,"","","ALSRNY","quant","R1907241-009",42,"mL",42,"mL","TOC",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,1,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-COLD_T7-1.1","08/01/2019","Y","ALSRNY","COLD-T7-1.1-08012019-W","WS","N","N","Field","","","08/01/2019 10:00:00","08/02/2019","COLD-T7-1.1","","072919CO2W","NYSDEC","",25,"CARBON, TOTAL ORGANIC","mg/L","mg/L","TOTAL","LAB",""
"51278",25,"SPRB-0.5-07312019-W","R1907241","","SM5310C","08/10/2019 02:17:00","initial","WS",1,"","","ALSRNY","quant","R1907241-001",42,"mL",42,"mL","TOC",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,1,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-SPRB-0.5","07/31/2019","Y","ALSRNY","SPRB-0.5-07312019-W","WS","N","N","Field","","","07/31/2019 10:00:00","08/01/2019","SPRB-0.5","","072919CO2W","NYSDEC","",25,"CARBON, TOTAL ORGANIC","mg/L","mg/L","TOTAL","LAB",""
"54872",27,"14-LEBA-0.6-08202019-W","R1907960","","E300.0","08/28/2019 19:20:00","initial","WS",10,"","","ALSRNY","quant","R1907960-006",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-LEBA-0.6","08/20/2019","N","ALSRNY","14-LEBA-0.6-08202019-W","WS","N","N","Field","","","08/20/2019 14:45:00","08/21/2019","14-LEBA-0.6","","081919CO3W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"54933",27,"COLD-T7-1.1-08012019-W","R1907241","","E300.0","08/05/2019 18:08:00","initial","WS",10,"","","ALSRNY","quant","R1907241-009",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-COLD_T7-1.1","08/01/2019","Y","ALSRNY","COLD-T7-1.1-08012019-W","WS","N","N","Field","","","08/01/2019 10:00:00","08/02/2019","COLD-T7-1.1","","072919CO2W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"55088",27,"06-NANG_T65_2-0.1-07112019-W","R1906571","","E300.0","07/17/2019 18:16:00","initial","WS",10,"","","ALSRNY","quant","R1906571-002",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-NANG_T65_2-0.1","07/11/2019","N","ALSRNY","06-NANG_T65_2-0.1-07112019-W","WS","N","N","Field","","","07/11/2019 11:40:00","07/12/2019","06-NANG_T65_2-0.1","","070819CO2W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"55205",27,"10-JONS-0.8-07182018-WS","R1806697","","E300.0","08/03/2018 01:22:00","initial","WS",10,"","","ALSRNY","quant","R1806697-015",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-JONS-0.8","07/18/2018","N","ALSRNY","10-JONS-0.8-07182018-WS","WS","N","N","Field","","","07/18/2018 13:30:00","07/20/2018","Unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"55887",27,"10-HALF_T2-4.3-07192018-WS","R1806696","","E300.0","08/02/2018 23:48:00","initial","WS",10,"","","ALSRNY","quant","R1806696-013",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-HALF_T2-4.3","07/19/2018","N","ALSRNY","10-HALF_T2-4.3-07192018-WS","WS","N","N","Field","","","07/19/2018 13:15:00","07/20/2018","Unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"56420",27,"09-SDH-2.7-09122019-W","R1908761","","E300.0","09/16/2019 13:23:00","initial","WS",10,"","","ALSRNY","quant","R1908761-016",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-SDSH-2.7","09/12/2019","N","ALSRNY","09-SDSH-2.7-09122019-W","WS","N","N","Field","","","09/12/2019 09:20:00","09/13/2019","09-SDSH-2.7","","090919C03W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"56577",27,"06-SANG_TB-0.1-07112019-W","R1906571","","E300.0","07/17/2019 18:10:00","initial","WS",10,"","","ALSRNY","quant","R1906571-001",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-SANG_Tb-0.1","07/11/2019","N","ALSRNY","06-SANG_Tb-0.1-07112019-W","WS","N","N","Field","","","07/11/2019 10:30:00","07/12/2019","06-SANG_Tb-0.1","","070819CO2W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"56721",27,"07-SUKE-0.3-08122019-W","R1907624","","E300.0","08/13/2019 17:55:00","initial","WS",10,"","","ALSRNY","quant","R1907624-015",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","07-SUKE-0.3","08/12/2019","N","ALSRNY","07-SUKE-0.3-08122019-W","WS","N","N","Field","","","08/12/2019 15:00:00","08/13/2019","07-SUKE-0.3","","081219COW","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"56760",27,"10-WESB-1.4-07182018-WS","R1806798","","E300.0","08/03/2018 01:57:00","initial","WS",10,"","","ALSRNY","quant","R1806798-008",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-WESB-1.4","07/18/2018","N","ALSRNY","10-WESB-1.4-07182018-WS","WS","N","N","Field","","","07/18/2018 08:45:00","07/20/2018","unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"56836",27,"10-MKEN-1.4-07182018-WS","R1806798","","E300.0","08/03/2018 02:44:00","initial","WS",10,"","","ALSRNY","quant","R1806798-013",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-MKEN-1.4","07/18/2018","N","ALSRNY","10-MKEN-1.4-07182018-WS","WS","N","N","Field","","","07/18/2018 15:30:00","07/20/2018","unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57396",27,"09-ALDM-0.8-09112019-W","R1908762","","E300.0","09/16/2019 17:22:00","initial","WS",10,"","","ALSRNY","quant","R1908762-009",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-ALDM-0.8","09/11/2019","N","ALSRNY","09-ALDM-0.8-09112019-W","WS","N","N","Field","","","09/11/2019 13:45:00","09/12/2019","09-ALDM-0.8","","090919C04W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57441",27,"10-LGEO_T62-0.2-07192018-WS","R1806839","","E300.0","08/03/2018 06:26:00","initial","WS",10,"","","ALSRNY","quant","R1806839-001",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-LGEO_T62-0.2","07/19/2018","N","ALSRNY","10-LGEO_T62-0.2-07192018-WS","WS","N","N","Field","","","07/19/2018 09:00:00","07/20/2018","unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57497",27,"10-LSAB-23.4-07182018-WS","R1806797","","E300.0","08/03/2018 03:19:00","initial","WS",10,"","","ALSRNY","quant","R1806797-005",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/12/2020","U","Analyte was analyzed for but not detected",0.2,0.2,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","10-LSAB-23.4","07/18/2018","N","ALSRNY","10-LSAB-23.4-07182018-WS","WS","N","N","Field","","","07/18/2018 08:00:00","07/19/2018","unknown","","","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57542",27,"09-SEPA-4.3-09122019-W","R1908761","","E300.0","09/16/2019 12:53:00","initial","WS",10,"","","ALSRNY","quant","R1908761-017",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-SEPA-4.3","09/12/2019","N","ALSRNY","09-SEPA-4.3-09122019-W","WS","N","N","Field","","","09/12/2019 10:00:00","09/13/2019","09-SEPA-4.3","","090919C03W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57824",27,"09-JENN-0.4-09102019-W","R1908759","","E300.0","09/12/2019 23:50:00","initial","WS",10,"","","ALSRNY","quant","R1908759-004",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-JENN-0.4","09/10/2019","N","ALSRNY","09-JENN-0.4-09102019-W","WS","N","N","Field","","","09/10/2019 15:40:00","09/11/2019","09-JENN-0.4","","090919C01W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57877",27,"09-GRAC-0.8-07232019-W","R1906908","","E300.0","07/25/2019 23:15:00","initial","WS",10,"","","ALSRNY","quant","R1906908-003",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GRAC-0.8","07/23/2019","N","ALSRNY","09-GRAC-0.8-07232019-W","WS","N","N","Field","","","07/23/2019 10:34:00","07/24/2019","09-GRAC-0.8","","072219CO6W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"57908",27,"09-GRAC-0.8-08272019-W","R1908225","","E300.0","09/09/2019 17:55:00","initial","WS",10,"","","ALSRNY","quant","R1908225-011",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-GRAC-0.8","08/27/2019","N","ALSRNY","09-GRAC-0.8-08272019-W","WS","N","N","Field","","","08/27/2019 10:30:00","08/28/2019","09-GRAC-0.8","","082619C01W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"58270",27,"SUGC_T3-0.3-07312019-W","R1907241","","E300.0","08/05/2019 21:16:00","initial","WS",10,"","","ALSRNY","quant","R1907241-007",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","06-SUGC_T3-0.3","07/31/2019","Y","ALSRNY","SUGC_T3-0.3-07312019-W","WS","N","N","Field","","","07/31/2019 16:15:00","08/01/2019","SUGC_T3-0.3","","072919CO2W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"58683",27,"04-RAGA_T40-0.2-07242019-W","R1906883","","E300.0","07/29/2019 17:07:00","initial","WS",10,"","","ALSRNY","quant","R1906883-012",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","04-RAGA_T40-0.2","07/24/2019","N","ALSRNY","04-RAGA_T40-0.2-07242019-W","WS","N","N","Field","","","07/24/2019 16:45:00","07/25/2019","04-RAGA_T40-0.2","","072219CO1W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"59027",27,"09-PALC-2.5-09102019-W","R1908759","","E300.0","09/12/2019 23:44:00","initial","WS",10,"","","ALSRNY","quant","R1908759-003",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-PALC-2.5","09/10/2019","N","ALSRNY","09-PALC-2.5-09102019-W","WS","N","N","Field","","","09/10/2019 14:00:00","09/11/2019","09-PALC-2.5","","090919C01W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"59980",27,"09-INDN-92.7-09102019-W","R1908759","","E300.0","09/12/2019 22:02:00","initial","WS",10,"","","ALSRNY","quant","R1908759-001",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","05/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","09-INDN-92.7","09/10/2019","N","ALSRNY","09-INDN-92.7-09102019-W","WS","N","N","Field","","","09/10/2019 11:20:00","09/11/2019","09-INDN-92.7","","090919C01W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
"60462",27,"14-BEAV-39.8-08212019-W","R1907964","","E300.0","09/04/2019 22:03:00","initial","WS",10,"","","ALSRNY","quant","R1907964-018",10,"mL",10,"mL","16887-00-6",NA,"TRG","Yes","N","AE","U","Y","06/11/2020","U","Analyte was analyzed for but not detected",0.5,0.5,2,"mg/l","","not detected",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"","","","14-BEAV-39.8","08/21/2019","N","ALSRNY","14-BEAV-39.8-08212019-W","WS","N","N","Field","","","08/21/2019 16:15:00","08/22/2019","14-BEAV-39.8","","081919CO2W","NYSDEC","",27,"CHLORIDE","mg/L","mg/L","TOTAL","LAB",""
